log_name,tag,hidden_size,hidden_layers,epochs,batch_size,train_loss,train_acc,val_loss,val_acc
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,15,32,0.6226860112841167,0.7780317664146423,0.7449421831312634,0.7381904721260071
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,16,32,0.6093629668856424,0.7832698225975037,0.6986677116212391,0.7566190361976624
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,17,32,0.6091149805689615,0.7833333611488342,0.7486985145523435,0.7659524083137512
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,18,32,0.6161333325666094,0.7813650965690613,0.7314130401157197,0.7491428852081299
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,19,32,0.588945566947498,0.7895873188972473,0.7736413300207683,0.7634285688400269
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,20,32,0.6098994360802665,0.7831745743751526,0.6930067589169456,0.7703333497047424
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,1,32,1.2583288527746048,0.6650476455688477,0.7534089909394582,0.7160000205039978
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,2,32,0.7338368054685138,0.7253015637397766,0.7232945012592134,0.7215714454650879
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,3,32,0.6806649069559007,0.7501269578933716,0.6908824370588575,0.7486666440963745
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,4,32,0.6806006217154246,0.7536190748214722,0.6905169317154657,0.7471904754638672
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,5,32,0.6512669713232252,0.7657777667045593,0.6604490989049275,0.7698571681976318
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,6,32,0.6549425601883541,0.7660952210426331,0.6639767631122044,0.7661904692649841
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,7,32,0.6402875942805457,0.7704761624336243,0.6737746043432327,0.7630000114440918
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,8,32,0.6299036399826171,0.774222195148468,0.6567607381911504,0.7789047360420227
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,9,32,0.6327064325714868,0.7757460474967957,0.695646606082008,0.7665714025497437
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,10,32,0.6125982368295155,0.7808571457862854,0.6924101185003917,0.7835714221000671
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,11,32,0.6138117906479609,0.7800952196121216,0.7657643536613101,0.7594285607337952
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,12,32,0.6026208406289418,0.7855873107910156,0.6924894297236488,0.7605714201927185
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,13,32,0.603277747120176,0.7854920625686646,0.6740086398578825,0.7789999842643738
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,14,32,0.599868556461637,0.7857460379600525,0.6620808954125359,0.7863809466362
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,15,32,0.5906050988643888,0.7872063517570496,0.7179985814094544,0.7667618989944458
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,16,32,0.5922051369349162,0.7902857065200806,0.6991561441875639,0.7770000100135803
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,17,32,0.5865163159843475,0.7893650531768799,0.7209962152810324,0.7700476050376892
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,18,32,0.5869823947482639,0.7926666736602783,0.6903673967747461,0.7820952534675598
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,19,32,0.5904877788831318,0.7919047474861145,0.7105010770843142,0.7719047665596008
"2024-05-13_13:43:33_bs=32,e=20,hl=1,hs=128",depth_and_size_experimentation,128,1,20,32,0.5872407581919715,0.7907936573028564,0.7341665140958059,0.7748095393180847
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,1,32,1.5838643131558858,0.6823492050170898,0.7246269365946452,0.7323333621025085
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,2,32,0.6888376536596389,0.7444761991500854,0.651595273472014,0.7598571181297302
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,3,32,0.6544289791167729,0.7621904611587524,0.6791324038505554,0.7501428723335266
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,4,32,0.6557631870337896,0.7654603123664856,0.6342851998011271,0.7717142701148987
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,5,32,0.646286210332598,0.7651746273040771,0.7026668296541486,0.7444761991500854
"2024-05-13_13:44:15_bs=32,e=20,hl=1,hs=256",depth_and_size_experimentation,256,1,6,32,0.6299876649266197,0.7724127173423767,0.7529269864445641,0.7422857284545898
